size,ave,sd,min,max,times
625,2.642487,-nan,2.161875,2.227185,1
1233,2.642656,-nan,2.160022,2.227185,2
1857,2.642738,-nan,2.160022,2.236892,3
2482,2.642741,-nan,2.160022,2.236892,4
3090,2.642695,-nan,2.160022,2.236892,5
3714,2.642725,-nan,2.160022,2.236892,6
4337,2.642686,-nan,2.159939,2.236892,7
4962,2.642722,-nan,2.159939,2.236892,8
5587,2.642747,-nan,2.159939,2.236892,9
6213,2.642750,-nan,2.159328,2.236892,10
6838,2.642764,-nan,2.159328,2.236892,11
7464,2.642761,-nan,2.159328,2.236892,12
8089,2.642757,-nan,2.159328,2.236892,13
8714,2.642765,-nan,2.158522,2.236892,14
9339,2.642771,-nan,2.158522,2.236892,15
9965,2.642752,-nan,2.156325,2.236892,16
10590,2.642744,-nan,2.156325,2.236892,17
11215,2.642748,-nan,2.156325,2.236892,18
11840,2.642760,-nan,2.156325,2.236892,19
12465,2.642771,-nan,2.156325,2.236892,20
13090,2.642776,-nan,2.156325,2.236892,21
13716,2.642748,-nan,2.156325,2.236892,22
14340,2.642720,-nan,2.156325,2.236892,23
14965,2.642713,-nan,2.156325,2.236892,24
15573,2.642697,-nan,2.156325,2.236892,25
16197,2.642697,-nan,2.156325,2.236892,26
16822,2.642696,-nan,2.156325,2.236892,27
17446,2.642699,-nan,2.156325,2.236892,28
18071,2.642706,-nan,2.156325,2.236892,29
18636,2.642680,-nan,2.156325,2.236892,30
19305,2.642693,-nan,2.156325,2.236892,32
19723,2.642632,-nan,2.156325,2.236892,33
20557,2.642692,-nan,2.156325,2.236892,35

