size,ave,sd,min,max
626,2.190866,0.010261,2.163544,2.218919
1235,2.191022,0.010198,2.163544,2.218919
1859,2.191165,0.010213,2.163544,2.219465
2483,2.191164,0.010229,2.160653,2.219465
3093,2.191151,0.010348,2.158946,2.219465
3720,2.191089,0.010361,2.158946,2.221003
4346,2.191115,0.010328,2.158946,2.221715
4970,2.191090,0.010366,2.158946,2.221715
5595,2.191074,0.010362,2.158730,2.221715
6219,2.191066,0.010380,2.158730,2.223464
6843,2.191071,0.010380,2.158730,2.223464
7468,2.191052,0.010430,2.158730,2.223464
8094,2.191064,0.010408,2.158730,2.223464
8719,2.191072,0.010394,2.158730,2.223464
9344,2.191078,0.010397,2.158730,2.223464
9969,2.191056,0.010411,2.158730,2.223464
10595,2.191040,0.010430,2.158730,2.223464

