size,ave,sd,min,max
27,2.190577,0.005965,2.177400,2.201505
508,2.190868,0.005813,2.175641,2.209403
1000,2.190761,0.005737,2.175641,2.209403
1519,2.190784,0.005746,2.175641,2.209403
2012,2.190824,0.005713,2.175641,2.209403
2510,2.190790,0.005693,2.175641,2.209403
3019,2.190765,0.005740,2.175641,2.209403
3507,2.190725,0.005728,2.175641,2.209403
4022,2.190705,0.005732,2.175641,2.209403
4513,2.190700,0.005728,2.175641,2.209403
5002,2.190691,0.005703,2.175641,2.209403
5509,2.190669,0.005714,2.175477,2.209403
6001,2.190648,0.005708,2.175477,2.209403
6524,2.190633,0.005697,2.175477,2.209403
7016,2.190638,0.005686,2.175477,2.209403
7503,2.190644,0.005690,2.175477,2.209403
8024,2.190640,0.005697,2.175477,2.209403
8502,2.190642,0.005701,2.175310,2.209403
9007,2.190627,0.005712,2.175310,2.209403
9525,2.190617,0.005714,2.175310,2.209403
10020,2.190611,0.005708,2.175310,2.209403

