size,ave,sd,min,max,times
157,2.641331,-nan,2.173886,2.214861,1
627,2.640998,-nan,2.172426,2.214861,4
1096,2.641005,-nan,2.172426,2.214861,7
1568,2.640986,-nan,2.172426,2.214861,10
2042,2.641061,-nan,2.172426,2.214861,13
2506,2.641079,-nan,2.172426,2.214861,16
3134,2.641015,-nan,2.170769,2.214861,20
3598,2.641013,-nan,2.170769,2.214861,23
4063,2.640991,-nan,2.170769,2.214861,26
4536,2.640980,-nan,2.170769,2.214861,29
5006,2.641008,-nan,2.170769,2.214861,32
5569,2.640991,-nan,2.170769,2.214861,36
6101,2.641028,-nan,2.169608,2.214861,41
6573,2.641036,-nan,2.169608,2.221627,44
7036,2.641032,-nan,2.169608,2.221627,47
7505,2.641051,-nan,2.169608,2.221627,50
8134,2.641056,-nan,2.169608,2.221627,54
8606,2.641064,-nan,2.169608,2.221627,57
9077,2.641062,-nan,2.169608,2.221627,60
9538,2.641063,-nan,2.169608,2.221627,63
10010,2.641057,-nan,2.169608,2.221627,66


