size,ave,sd,min,max,times
158,2.641566,-nan,2.176564,2.207839,1
628,2.641190,-nan,2.173186,2.215592,4
1097,2.641211,-nan,2.173186,2.215592,7
1561,2.641244,-nan,2.171973,2.215592,10
2034,2.641269,-nan,2.171973,2.215592,13
2506,2.641289,-nan,2.171973,2.215592,16
3135,2.641261,-nan,2.171973,2.215592,20
3606,2.641275,-nan,2.171973,2.215592,23
4076,2.641281,-nan,2.171973,2.215592,26
4545,2.641308,-nan,2.171973,2.215592,29
5016,2.641309,-nan,2.171973,2.215592,34
5643,2.641302,-nan,2.171973,2.215592,38
6116,2.641287,-nan,2.171973,2.215592,41
6587,2.641286,-nan,2.171973,2.215592,44
7057,2.641279,-nan,2.171973,2.215592,47
7528,2.641267,-nan,2.171973,2.215592,50
8146,2.641276,-nan,2.171954,2.215592,54
8615,2.641276,-nan,2.171954,2.215592,57
9087,2.641278,-nan,2.171954,2.215592,60
9548,2.641288,-nan,2.171954,2.215592,63
10010,2.641282,-nan,2.171954,2.215592,66
10636,2.641299,-nan,2.171832,2.215592,70
11110,2.641291,-nan,2.171832,2.215592,73
11581,2.641295,-nan,2.171832,2.215592,77
12052,2.641291,-nan,2.171832,2.215592,81
12523,2.641283,-nan,2.171832,2.215592,84
13150,2.641291,-nan,2.170259,2.215592,88
13613,2.641282,-nan,2.170259,2.215592,91
14084,2.641276,-nan,2.170259,2.215592,94
14554,2.641270,-nan,2.170259,2.215592,97
15015,2.641274,-nan,2.170259,2.215592,100
15644,2.641276,-nan,2.170259,2.218779,104
16114,2.641275,-nan,2.170259,2.218779,107
16586,2.641270,-nan,2.170259,2.218779,110
17057,2.641270,-nan,2.170259,2.218779,113
17518,2.641279,-nan,2.170259,2.218779,116
18054,2.641274,-nan,2.170259,2.218779,121
18601,2.641292,-nan,2.170259,2.218779,126
19073,2.641294,-nan,2.170259,2.218779,129
19543,2.641293,-nan,2.170259,2.218779,132
20013,2.641295,-nan,2.170259,2.218779,135

