size,ave,sd,min,max
52,2.192760,0.006293,2.177610,2.207250
518,2.192674,0.006590,2.176952,2.211864
1034,2.192986,0.006618,2.176302,2.211864
1501,2.192939,0.006562,2.174435,2.211864
2024,2.192869,0.006535,2.173991,2.211864
2549,2.192863,0.006488,2.173991,2.211864
3018,2.192863,0.006463,2.173991,2.211864
3538,2.192822,0.006445,2.173991,2.211864
4008,2.192863,0.006403,2.173991,2.211864
4520,2.192820,0.006405,2.173991,2.211864
5042,2.192858,0.006392,2.173991,2.211864
5506,2.192898,0.006379,2.173991,2.211864
6027,2.192943,0.006366,2.173991,2.211864
6550,2.192987,0.006357,2.173991,2.211864
7016,2.193016,0.006363,2.173991,2.211864
7533,2.193031,0.006353,2.173991,2.211864
8044,2.193029,0.006326,2.173991,2.211864
8513,2.193024,0.006303,2.173991,2.211864
9032,2.193021,0.006298,2.173991,2.211864
9503,2.193004,0.006298,2.173991,2.211864
10029,2.192971,0.006293,2.173991,2.211864

