size,ave,sd,min,max,times
157,2.641763,-nan,2.175461,2.211169,1
628,2.641515,-nan,2.173490,2.216116,4
1099,2.641599,-nan,2.173490,2.216116,7
1559,2.641554,-nan,2.172557,2.216116,10
2031,2.641576,-nan,2.172557,2.217056,13
2503,2.641615,-nan,2.172557,2.217056,16
3040,2.641556,-nan,2.172557,2.217056,21
3583,2.641585,-nan,2.169216,2.217278,26
4053,2.641540,-nan,2.169216,2.217278,29
4513,2.641538,-nan,2.169216,2.217278,32
5141,2.641515,-nan,2.169216,2.217278,36
5612,2.641485,-nan,2.169216,2.217278,39
6084,2.641479,-nan,2.169216,2.217278,42
6554,2.641475,-nan,2.169216,2.217278,45
7025,2.641457,-nan,2.169216,2.217278,48
7645,2.641426,-nan,2.169216,2.217278,52
8111,2.641417,-nan,2.169216,2.217278,55
8583,2.641399,-nan,2.169216,2.217278,58
9056,2.641384,-nan,2.169216,2.217278,61
9519,2.641384,-nan,2.169216,2.217278,65
10147,2.641385,-nan,2.169216,2.217278,71
10617,2.641376,-nan,2.169216,2.217278,74

