size,ave,sd,min,max,times
63,2.638604,-nan,2.173466,2.205194,1
629,2.641050,-nan,2.173466,2.209439,5
1098,2.641196,-nan,2.172511,2.217205,8
1562,2.641161,-nan,2.171372,2.217205,11
2034,2.641111,-nan,2.171372,2.217205,14
2504,2.641087,-nan,2.171372,2.217205,17
3133,2.641101,-nan,2.171372,2.217205,21
3606,2.641131,-nan,2.171372,2.217205,24
4075,2.641149,-nan,2.171372,2.217205,27
4546,2.641179,-nan,2.171372,2.217205,30
5017,2.641164,-nan,2.171372,2.217205,33
5644,2.641180,-nan,2.171313,2.217205,37
6117,2.641195,-nan,2.171313,2.218758,40
6546,2.641169,-nan,2.171313,2.218758,43
7062,2.641197,-nan,2.171313,2.218758,48
7534,2.641186,-nan,2.171313,2.218758,51
8005,2.641210,-nan,2.171313,2.218758,54
8625,2.641213,-nan,2.171313,2.218758,58
9086,2.641209,-nan,2.171313,2.218758,61
9549,2.641205,-nan,2.171313,2.218758,64
10012,2.641200,-nan,2.171313,2.218758,67
10631,2.641186,-nan,2.171313,2.218758,71
11095,2.641195,-nan,2.169879,2.218758,74
11567,2.641203,-nan,2.169879,2.218758,77
12029,2.641216,-nan,2.169879,2.218758,80
12649,2.641225,-nan,2.169879,2.218758,84
13111,2.641224,-nan,2.169879,2.218758,87
13583,2.641228,-nan,2.169879,2.218758,92
14056,2.641222,-nan,2.169879,2.218758,95
14526,2.641225,-nan,2.169879,2.218758,98
15155,2.641226,-nan,2.169879,2.218758,102
15616,2.641221,-nan,2.169879,2.218758,105
16078,2.641209,-nan,2.169879,2.218758,108
16549,2.641205,-nan,2.169879,2.218758,111
17019,2.641204,-nan,2.169879,2.218758,114
17646,2.641213,-nan,2.169879,2.218758,118
18107,2.641216,-nan,2.169879,2.218758,121
18571,2.641213,-nan,2.169879,2.218758,124
19033,2.641208,-nan,2.169879,2.218758,127
19504,2.641208,-nan,2.169879,2.218758,130
20131,2.641203,-nan,2.169879,2.218758,135
20602,2.641202,-nan,2.169879,2.218758,139

