size,ave,sd,min,max
157,2.188759,0.007236,2.172110,2.208406
628,2.188850,0.007164,2.170981,2.208406
1101,2.188696,0.007182,2.169362,2.208406
1574,2.188702,0.007304,2.168012,2.211291
2047,2.188659,0.007266,2.168012,2.211291
2519,2.188621,0.007309,2.168012,2.211291
3138,2.188634,0.007343,2.166911,2.211291
3602,2.188671,0.007294,2.166911,2.211291
4073,2.188660,0.007260,2.166911,2.211291
4538,2.188657,0.007263,2.166911,2.211291
5010,2.188677,0.007277,2.166911,2.211291
5638,2.188676,0.007250,2.166911,2.211291
6102,2.188687,0.007249,2.166911,2.211291
6572,2.188680,0.007266,2.166911,2.211291
7037,2.188677,0.007289,2.166911,2.211291
7507,2.188692,0.007282,2.166911,2.212099
8134,2.188730,0.007279,2.166911,2.212399
8606,2.188738,0.007278,2.166911,2.212399
9070,2.188731,0.007284,2.166911,2.212399
9542,2.188736,0.007282,2.166911,2.212399
10013,2.188718,0.007300,2.166911,2.212399
10642,2.188730,0.007296,2.166911,2.212399

