size,ave,sd,min,max
26,2.195940,0.005674,2.185470,2.205661
514,2.194459,0.006237,2.177586,2.213201
1006,2.194320,0.006214,2.177586,2.213585
1520,2.194447,0.006323,2.177472,2.213585
2011,2.194432,0.006301,2.177472,2.213642
2507,2.194447,0.006293,2.177274,2.213659
3020,2.194434,0.006314,2.177274,2.213659
3525,2.194454,0.006325,2.177274,2.213659
4006,2.194432,0.006335,2.177274,2.213659
4501,2.194474,0.006361,2.177274,2.217239
5020,2.194476,0.006347,2.177274,2.217239
5513,2.194502,0.006357,2.177274,2.217239
6005,2.194502,0.006344,2.177274,2.217239
6521,2.194526,0.006330,2.177274,2.217239
7018,2.194543,0.006328,2.177274,2.217239
7511,2.194561,0.006316,2.177274,2.217239
8001,2.194573,0.006320,2.177274,2.217239
8511,2.194584,0.006312,2.177274,2.217239
9005,2.194597,0.006293,2.177274,2.217239
9522,2.194584,0.006288,2.177167,2.217239
10004,2.194572,0.006284,2.177167,2.217239

