size,ave,sd,min,max,times
391,2.642005,-nan,2.161314,2.221827,1
782,2.642221,-nan,2.161314,2.223750,2
1173,2.642060,-nan,2.161314,2.223750,3
1564,2.642040,-nan,2.160005,2.223750,4
2347,2.641990,-nan,2.160005,2.224409,6
2727,2.641990,-nan,2.160005,2.224409,7
3118,2.641990,-nan,2.160005,2.224409,8
3509,2.642012,-nan,2.160005,2.224409,9
4280,2.642018,-nan,2.160005,2.224409,11
4672,2.641995,-nan,2.160005,2.224409,12
5051,2.642014,-nan,2.160005,2.224409,13
5834,2.642001,-nan,2.160005,2.224409,15
6213,2.641975,-nan,2.160005,2.224409,16
6606,2.641979,-nan,2.160005,2.224409,17
7389,2.641990,-nan,2.160005,2.228178,19
7781,2.641982,-nan,2.160005,2.228178,20
8172,2.641973,-nan,2.160005,2.228178,21
8553,2.641951,-nan,2.160005,2.228178,22
9334,2.641972,-nan,2.160005,2.228178,24
9652,2.641930,-nan,2.160005,2.228178,25
10115,2.641981,-nan,2.160005,2.228178,27
10505,2.641987,-nan,2.160005,2.228178,29
11289,2.641998,-nan,2.159990,2.228178,32
11668,2.642010,-nan,2.159990,2.228178,33
12060,2.642008,-nan,2.159990,2.228178,34
12841,2.642003,-nan,2.159990,2.228178,36
13232,2.642007,-nan,2.159990,2.228178,37
13623,2.642005,-nan,2.159990,2.228178,38
14013,2.642006,-nan,2.159990,2.228178,39
14795,2.642021,-nan,2.159990,2.228178,41
15186,2.642016,-nan,2.159990,2.228178,42
15578,2.642018,-nan,2.159990,2.228178,43
16359,2.642010,-nan,2.159990,2.228178,45
16749,2.642009,-nan,2.159990,2.228178,46
17141,2.642011,-nan,2.159990,2.228178,47
17532,2.642003,-nan,2.159990,2.228178,48
18316,2.641998,-nan,2.159990,2.228178,50
18707,2.641996,-nan,2.159990,2.228178,51
19097,2.641998,-nan,2.159990,2.228178,52
19881,2.641992,-nan,2.159990,2.228178,54
20273,2.641984,-nan,2.159990,2.228178,55

