size,ave,sd,min,max
313,2.189663,0.010988,2.165259,2.217323
626,2.189996,0.010902,2.163305,2.218388
1254,2.189973,0.010942,2.159322,2.220306
1557,2.189996,0.010874,2.159322,2.223722
2185,2.190006,0.010918,2.156745,2.223722
2814,2.190050,0.010895,2.156745,2.225894
3127,2.189998,0.010851,2.156745,2.225894
3754,2.189977,0.010795,2.156745,2.225894
4067,2.189941,0.010796,2.156745,2.225894
4696,2.189917,0.010753,2.156745,2.225894
5008,2.189913,0.010736,2.156745,2.225894
5635,2.189910,0.010754,2.156745,2.225894
6252,2.189886,0.010723,2.156745,2.225894
6564,2.189890,0.010716,2.156366,2.225894
7180,2.189896,0.010728,2.156366,2.225894
7808,2.189896,0.010734,2.156366,2.225894
8121,2.189900,0.010747,2.156366,2.225894
8716,2.189892,0.010744,2.156366,2.225894
9048,2.189911,0.010733,2.156366,2.225894
9676,2.189907,0.010723,2.156366,2.226072
10304,2.189917,0.010729,2.156366,2.226072

