size,ave,sd,min,max
52,2.194029,0.006492,2.178300,2.205555
523,2.193390,0.006250,2.175626,2.211270
1046,2.193190,0.006346,2.175626,2.211576
1511,2.193260,0.006301,2.174263,2.211576
2029,2.193303,0.006348,2.174263,2.215564
2545,2.193298,0.006359,2.174263,2.215564
3015,2.193324,0.006405,2.174263,2.215564
3539,2.193343,0.006396,2.174263,2.215564
4009,2.193358,0.006371,2.174263,2.215564
4523,2.193350,0.006390,2.174263,2.215564
5037,2.193361,0.006419,2.174263,2.215564
5508,2.193358,0.006397,2.174263,2.215564
6031,2.193397,0.006416,2.174263,2.215564
6548,2.193418,0.006426,2.174263,2.215564
7013,2.193410,0.006447,2.174263,2.215564
7536,2.193425,0.006448,2.174263,2.215564
8007,2.193449,0.006454,2.174263,2.215614
8524,2.193445,0.006449,2.174263,2.215614
9045,2.193455,0.006443,2.174263,2.215614
9514,2.193450,0.006445,2.174263,2.215614
10036,2.193449,0.006439,2.174151,2.215614

