size,ave,sd,min,max,times
52,2.643493,-nan,2.179802,2.211372,1
524,2.643047,-nan,2.174065,2.211372,12
1041,2.643374,-nan,2.174036,2.211372,22
1513,2.643321,-nan,2.174036,2.211372,31
2028,2.643354,-nan,2.174036,2.211538,41
2500,2.643373,-nan,2.174036,2.211538,50
3024,2.643369,-nan,2.174036,2.211538,62
3549,2.643360,-nan,2.171431,2.211538,72
4019,2.643337,-nan,2.171431,2.211538,81
4542,2.643319,-nan,2.171431,2.211538,91
5016,2.643306,-nan,2.171431,2.211538,101
5536,2.643297,-nan,2.171431,2.211538,111
6006,2.643287,-nan,2.171431,2.211538,120
6528,2.643290,-nan,2.171431,2.211538,130
7050,2.643294,-nan,2.171431,2.211538,140
7514,2.643304,-nan,2.171431,2.211538,150
8040,2.643302,-nan,2.171431,2.211538,160
8506,2.643293,-nan,2.171431,2.211538,169
9031,2.643304,-nan,2.171431,2.211569,179
9501,2.643308,-nan,2.171431,2.214820,189
10024,2.643298,-nan,2.171431,2.214820,199
10543,2.643287,-nan,2.171431,2.214820,209
11010,2.643286,-nan,2.171431,2.214820,218
11526,2.643283,-nan,2.171431,2.214820,228
12001,2.643275,-nan,2.171431,2.214820,239
12522,2.643287,-nan,2.171431,2.214820,249
13040,2.643294,-nan,2.171431,2.214820,259
13509,2.643288,-nan,2.171431,2.214820,268
14027,2.643287,-nan,2.171431,2.214820,280
14552,2.643286,-nan,2.171431,2.214820,290
15022,2.643285,-nan,2.171431,2.214820,299
15545,2.643284,-nan,2.171431,2.214820,309
16014,2.643283,-nan,2.171431,2.214820,319
16533,2.643268,-nan,2.171431,2.214820,330
17004,2.643257,-nan,2.171431,2.214820,339
17528,2.643253,-nan,2.171431,2.214820,349
18049,2.643248,-nan,2.171431,2.215545,359
18512,2.643249,-nan,2.171431,2.215545,369
19022,2.643242,-nan,2.171431,2.215545,379
19544,2.643241,-nan,2.171431,2.215545,389
20014,2.643246,-nan,2.171431,2.215545,398

