size,ave,sd,min,max,times
53,2.643128,-nan,2.175612,2.207328,1
519,2.643184,-nan,2.175612,2.210121,10
1042,2.643193,-nan,2.175612,2.210779,21
1514,2.643142,-nan,2.174810,2.210779,30
2039,2.643190,-nan,2.173565,2.210779,40
2505,2.643160,-nan,2.173565,2.210779,49
3022,2.643123,-nan,2.173565,2.211525,60
3545,2.643086,-nan,2.173565,2.211525,70
4010,2.643110,-nan,2.173565,2.211525,79
4530,2.643098,-nan,2.173565,2.213434,89
5001,2.643086,-nan,2.173565,2.213434,98
5520,2.643091,-nan,2.173565,2.215216,109
6038,2.643071,-nan,2.173565,2.215216,119
6509,2.643055,-nan,2.173565,2.215216,128
7030,2.643030,-nan,2.173565,2.215216,138
7550,2.643001,-nan,2.173565,2.215216,150
8017,2.642998,-nan,2.173565,2.215216,159
8539,2.643003,-nan,2.173565,2.215216,169
9002,2.642991,-nan,2.173565,2.215216,178
9521,2.642980,-nan,2.173558,2.215216,188
10041,2.642975,-nan,2.173558,2.215216,200
10514,2.642968,-nan,2.173558,2.215216,209

